type, chromaX, chromaY, r, g, b, rgb
O5V, 0.2436, 0.2343, 155, 176, 255, #9bb0ff
O6V, 0.2492, 0.2445, 162, 184, 255, #a2b8ff
O7V, 0.2451, 0.2351, 157, 177, 255, #9db1ff
O8V, 0.2451, 0.2351, 157, 177, 255, #9db1ff
O9V, 0.2437, 0.2366, 154, 178, 255, #9ab2ff
O9.5V, 0.2510, 0.2472, 164, 186, 255, #a4baff
B0V, 0.2448, 0.2362, 156, 178, 255, #9cb2ff
B0.5V, 0.2530, 0.2501, 167, 188, 255, #a7bcff
B1V, 0.2481, 0.2424, 160, 182, 255, #a0b6ff
B2V, 0.2474, 0.2395, 160, 180, 255, #a0b4ff
B3V, 0.2517, 0.2472, 165, 185, 255, #a5b9ff
B4V, 0.2506, 0.2453, 164, 184, 255, #a4b8ff
B5V, 0.2559, 0.2546, 170, 191, 255, #aabfff
B6V, 0.2563, 0.2522, 172, 189, 255, #acbdff
B7V, 0.2578, 0.2555, 173, 191, 255, #adbfff
B8V, 0.2604, 0.2603, 177, 195, 255, #b1c3ff
B9V, 0.2639, 0.2642, 181, 198, 255, #b5c6ff
A0V, 0.2668, 0.2686, 185, 201, 255, #b9c9ff
A1V, 0.2635, 0.2650, 181, 199, 255, #b5c7ff
A2V, 0.2677, 0.2701, 187, 203, 255, #bbcbff
A3V, 0.2706, 0.2752, 191, 207, 255, #bfcfff
A5V, 0.2786, 0.2858, 202, 215, 255, #cad7ff
A6V, 0.2765, 0.2825, 199, 212, 255, #c7d4ff
A7V, 0.2771, 0.2830, 200, 213, 255, #c8d5ff
A8V, 0.2864, 0.2943, 213, 222, 255, #d5deff
A9V, 0.2901, 0.2971, 219, 224, 255, #dbe0ff
F0V, 0.2932, 0.3018, 224, 229, 255, #e0e5ff
F2V, 0.3012, 0.3125, 236, 239, 255, #ecefff
F4V, 0.2935, 0.2993, 224, 226, 255, #e0e2ff
F5V, 0.3088, 0.3209, 248, 247, 255, #f8f7ff
F6V, 0.3060, 0.3154, 244, 241, 255, #f4f1ff
F7V, 0.3075, 0.3168, 246, 243, 255, #f6f3ff
F8V, 0.3147, 0.3240, 255, 247, 252, #fff7fc
F9V, 0.3149, 0.3247, 255, 247, 252, #fff7fc
G0V, 0.3149, 0.3257, 255, 248, 252, #fff8fc
G1V, 0.3172, 0.3278, 255, 247, 248, #fff7f8
G2V, 0.3211, 0.3323, 255, 245, 242, #fff5f2
G4V, 0.3293, 0.3403, 255, 241, 229, #fff1e5
G5V, 0.3260, 0.3382, 255, 244, 234, #fff4ea
G6V, 0.3257, 0.3380, 255, 244, 235, #fff4eb
G7V, 0.3257, 0.3380, 255, 244, 235, #fff4eb
G8V, 0.3346, 0.3445, 255, 237, 222, #ffedde
G9V, 0.3352, 0.3469, 255, 239, 221, #ffefdd
K0V, 0.3352, 0.3458, 255, 238, 221, #ffeedd
K1V, 0.3603, 0.3664, 255, 224, 188, #ffe0bc
K2V, 0.3535, 0.3597, 255, 227, 196, #ffe3c4
K3V, 0.3555, 0.3571, 255, 222, 195, #ffdec3
K4V, 0.3670, 0.3645, 255, 216, 181, #ffd8b5
K5V, 0.3836, 0.3798, 255, 210, 161, #ffd2a1
K7V, 0.4030, 0.3875, 255, 199, 142, #ffc78e
K8V, 0.3746, 0.3661, 255, 209, 174, #ffd1ae
M0V, 0.4073, 0.3876, 255, 195, 139, #ffc38b
M1V, 0.4011, 0.3927, 255, 204, 142, #ffcc8e
M2V, 0.4130, 0.3958, 255, 196, 131, #ffc483
M3V, 0.4089, 0.4075, 255, 206, 129, #ffce81
M4V, 0.4137, 0.4043, 255, 201, 127, #ffc97f
M5V, 0.4227, 0.4218, 255, 204, 111, #ffcc6f
M6V, 0.4271, 0.4123, 255, 195, 112, #ffc370
M8V, 0.4276, 0.4176, 255, 198, 109, #ffc66d
B1IV, 0.2459, 0.2397, 157, 180, 255, #9db4ff
B2IV, 0.2467, 0.2388, 159, 179, 255, #9fb3ff
B3IV, 0.2523, 0.2498, 166, 188, 255, #a6bcff
B6IV, 0.2591, 0.2582, 175, 194, 255, #afc2ff
B7IV, 0.2552, 0.2522, 170, 189, 255, #aabdff
B9IV, 0.2628, 0.2629, 180, 197, 255, #b4c5ff
A0IV, 0.2622, 0.2623, 179, 197, 255, #b3c5ff
A3IV, 0.2698, 0.2734, 190, 205, 255, #becdff
A4IV, 0.2738, 0.2793, 195, 210, 255, #c3d2ff
A5IV, 0.2857, 0.2923, 212, 220, 255, #d4dcff
A7IV, 0.2715, 0.2759, 192, 207, 255, #c0cfff
A9IV, 0.2932, 0.2997, 224, 227, 255, #e0e3ff
F0IV, 0.2893, 0.2966, 218, 224, 255, #dae0ff
F2IV, 0.2951, 0.3029, 227, 230, 255, #e3e6ff
F3IV, 0.2952, 0.3036, 227, 230, 255, #e3e6ff
F5IV, 0.3044, 0.3133, 241, 239, 255, #f1efff
F7IV, 0.3040, 0.3130, 240, 239, 255, #f0efff
F8IV, 0.3138, 0.3280, 255, 252, 253, #fffcfd
G0IV, 0.3190, 0.3317, 255, 248, 245, #fff8f5
G2IV, 0.3212, 0.3311, 255, 244, 242, #fff4f2
G3IV, 0.3319, 0.3417, 255, 238, 226, #ffeee2
G4IV, 0.3232, 0.3359, 255, 245, 238, #fff5ee
G5IV, 0.3404, 0.3503, 255, 235, 213, #ffebd5
G6IV, 0.3260, 0.3359, 255, 242, 234, #fff2ea
G7IV, 0.3466, 0.3551, 255, 231, 205, #ffe7cd
G8IV, 0.3422, 0.3510, 255, 233, 211, #ffe9d3
K0IV, 0.3592, 0.3659, 255, 225, 189, #ffe1bd
K1IV, 0.3743, 0.3753, 255, 216, 171, #ffd8ab
K2IV, 0.3491, 0.3565, 255, 229, 202, #ffe5ca
K3IV, 0.3764, 0.3821, 255, 219, 167, #ffdba7
O7III, 0.2460, 0.2363, 158, 177, 255, #9eb1ff
O8III, 0.2455, 0.2373, 157, 178, 255, #9db2ff
O9III, 0.2460, 0.2363, 158, 177, 255, #9eb1ff
B0III, 0.2460, 0.2363, 158, 177, 255, #9eb1ff
B1III, 0.2460, 0.2363, 158, 177, 255, #9eb1ff
B2III, 0.2470, 0.2396, 159, 180, 255, #9fb4ff
B3III, 0.2509, 0.2486, 163, 187, 255, #a3bbff
B5III, 0.2541, 0.2514, 168, 189, 255, #a8bdff
B7III, 0.2562, 0.2542, 171, 191, 255, #abbfff
B9III, 0.2615, 0.2608, 178, 195, 255, #b2c3ff
A0III, 0.2687, 0.2729, 188, 205, 255, #bccdff
A3III, 0.2691, 0.2707, 189, 203, 255, #bdcbff
A5III, 0.2787, 0.2858, 202, 215, 255, #cad7ff
A6III, 0.2837, 0.2903, 209, 219, 255, #d1dbff
A7III, 0.2843, 0.2911, 210, 219, 255, #d2dbff
A8III, 0.2837, 0.2903, 209, 219, 255, #d1dbff
A9III, 0.2837, 0.2903, 209, 219, 255, #d1dbff
F0III, 0.2865, 0.2945, 213, 222, 255, #d5deff
F2III, 0.3041, 0.3151, 241, 241, 255, #f1f1ff
F4III, 0.3043, 0.3137, 241, 240, 255, #f1f0ff
F5III, 0.3048, 0.3145, 242, 240, 255, #f2f0ff
F6III, 0.3043, 0.3137, 241, 240, 255, #f1f0ff
F7III, 0.3043, 0.3137, 241, 240, 255, #f1f0ff
G0III, 0.3268, 0.3384, 255, 242, 233, #fff2e9
G1III, 0.3265, 0.3380, 255, 243, 233, #fff3e9
G2III, 0.3265, 0.3380, 255, 243, 233, #fff3e9
G3III, 0.3265, 0.3380, 255, 243, 233, #fff3e9
G4III, 0.3265, 0.3380, 255, 243, 233, #fff3e9
G5III, 0.3421, 0.3541, 255, 236, 211, #ffecd3
G6III, 0.3392, 0.3496, 255, 236, 215, #ffecd7
G8III, 0.3505, 0.3613, 255, 231, 199, #ffe7c7
G9III, 0.3529, 0.3643, 255, 231, 196, #ffe7c4
K0III, 0.3580, 0.3663, 255, 227, 190, #ffe3be
K1III, 0.3653, 0.3721, 255, 223, 181, #ffdfb5
K2III, 0.3698, 0.3760, 255, 221, 175, #ffddaf
K3III, 0.3776, 0.3800, 255, 216, 167, #ffd8a7
K4III, 0.3947, 0.3956, 255, 211, 146, #ffd392
K5III, 0.4034, 0.3966, 255, 204, 138, #ffcc8a
K7III, 0.3989, 0.3975, 255, 208, 142, #ffd08e
M0III, 0.4088, 0.4013, 255, 203, 132, #ffcb84
M1III, 0.4181, 0.4085, 255, 200, 121, #ffc879
M2III, 0.4215, 0.4098, 255, 198, 118, #ffc676
M3III, 0.4192, 0.4108, 255, 200, 119, #ffc877
M4III, 0.4102, 0.4091, 255, 206, 127, #ffce7f
M5III, 0.4171, 0.4035, 255, 197, 124, #ffc57c
M6III, 0.4312, 0.3876, 255, 178, 121, #ffb279
M7III, 0.4591, 0.3966, 255, 165, 097, #ffa561
M8III, 0.4582, 0.3980, 255, 167, 097, #ffa761
M9III, 0.3802, 0.4084, 255, 233, 154, #ffe99a
B2II, 0.2530, 0.2557, 165, 192, 255, #a5c0ff
B5II, 0.2593, 0.2597, 175, 195, 255, #afc3ff
F0II, 0.2795, 0.2880, 203, 217, 255, #cbd9ff
F2II, 0.2966, 0.3069, 229, 233, 255, #e5e9ff
G5II, 0.3471, 0.3611, 255, 235, 203, #ffebcb
M3II, 0.4185, 0.4120, 255, 201, 119, #ffc977
O9I, 0.2507, 0.2468, 164, 185, 255, #a4b9ff
B0I, 0.2498, 0.2513, 161, 189, 255, #a1bdff
B1I, 0.2547, 0.2562, 168, 193, 255, #a8c1ff
B2I, 0.2606, 0.2611, 177, 196, 255, #b1c4ff
B3I, 0.2591, 0.2582, 175, 194, 255, #afc2ff
B4I, 0.2678, 0.2710, 187, 203, 255, #bbcbff
B5I, 0.2628, 0.2685, 179, 202, 255, #b3caff
B6I, 0.2711, 0.2754, 191, 207, 255, #bfcfff
B7I, 0.2734, 0.2785, 195, 209, 255, #c3d1ff
B8I, 0.2653, 0.2740, 182, 206, 255, #b6ceff
B9I, 0.2797, 0.2865, 204, 216, 255, #ccd8ff
A0I, 0.2683, 0.2737, 187, 206, 255, #bbceff
A1I, 0.2871, 0.2955, 214, 223, 255, #d6dfff
A2I, 0.2768, 0.2842, 199, 214, 255, #c7d6ff
A5I, 0.2925, 0.3019, 223, 229, 255, #dfe5ff
F0I, 0.2789, 0.2855, 202, 215, 255, #cad7ff
F2I, 0.3061, 0.3172, 244, 243, 255, #f4f3ff
F5I, 0.2899, 0.2978, 219, 225, 255, #dbe1ff
F8I, 0.3177, 0.3337, 255, 252, 247, #fffcf7
G0I, 0.3361, 0.3490, 255, 239, 219, #ffefdb
G2I, 0.3461, 0.3605, 255, 236, 205, #ffeccd
G3I, 0.3479, 0.3566, 255, 231, 203, #ffe7cb
G5I, 0.3617, 0.3769, 255, 230, 183, #ffe6b7
G8I, 0.3764, 0.3833, 255, 220, 167, #ffdca7
K0I, 0.3659, 0.3706, 255, 221, 181, #ffddb5
K1I, 0.3693, 0.3730, 255, 220, 177, #ffdcb1
K2I, 0.4022, 0.4058, 255, 211, 135, #ffd387
K3I, 0.4110, 0.4074, 255, 204, 128, #ffcc80
K4I, 0.4195, 0.4128, 255, 201, 118, #ffc976
K5I, 0.3896, 0.3863, 255, 209, 154, #ffd19a
M0I, 0.3994, 0.3920, 255, 204, 143, #ffcc8f
M1I, 0.4048, 0.3948, 255, 202, 138, #ffca8a
M2I, 0.4338, 0.4178, 255, 193, 104, #ffc168
M3I, 0.4254, 0.4044, 255, 192, 118, #ffc076
M4I, 0.4402, 0.4100, 255, 185, 104, #ffb968
N, 0.5231, 0.4406, 255, 157, 000, #ff9d00
